Abortiporus biennis,Blushing Rosette
Campanella aeruginea,turquoise oysterling
Cantharellus cinnabarinus,cinnabar chanterelle
Cantharellus ignicolor,flame chanterelle
Caripia montagnei,pod parachute
Catathelasma imperiale,imperial mushroom
Ceriporia tarda,mauve waxpore
Chlorophyllum agaricoides,puffball parasol
Chlorovibrissea phialophora,green pinball
Clavaria phoenicea,sunset spindles
Clavaria purpurea,Purple Spindles
Climacodon septentrionalis,northern tooth fungus
Clitocybe amoenolens,Paralysis Funnel
Conocybe deliquescens,beansprout conecap
Cookeina tricholoma,hairy tropical goblet
Cortinarius agathosmus,Scented Webcap
Cortinarius austrovenetus,green skinhead
Cortinarius iodes,viscid violet webcap
Crinipellis zonata,zoned hairy parachute
Cryptoporus volvatus,veiled polypore
Cymatoderma elegans,leathery goblet
Cyptotrama asprata,scruffy scalycap
Cystoagaricus trisulphuratus,scaly tangerine mushroom
Cyttaria darwinii ,Darwin's golfball 
Cyttaria gunnii,orange golfball 
Dacryopinax spathularia,fan shaped jelly
Deflexula subsimplex,pendant coral
Echinodontium tinctorium,indian paint fungus
Entoloma glaucoroseum,jade pinkgill
Entoloma murrayi,unicorn pinkgill
Entoloma quadratum,salmon pinkgill
Entoloma violaceum,violet pinkgill
Entoloma virescens,skyblue pinkgill
Favolaschia calocera,orange porecap
Favolaschia pustulosa,white porecap
Favolus tenuiculus,tropical white polypore
Filoboletus manipularis,luminous porecap
Floccularia luteovirens,yellow bracelet
Galiella rufa,hairy rubber cup
Gallacea scleroderma,velvet potato fungus
Glaziella aurantiaca,orange bladder
Gliophorus viridis,verdigris waxcap
Gomphus floccosus,woolly chanterelle
Gyromitra gigas,Giants False Morel
Heimioporus betula,shaggy stalked bolete
Heliocybe sulcata,sunray sawgill
Hexagonia hydnoides,hexagon bracket
Humidicutis lewelliniae,mauve splitting waxcap
Humidicutis marginata,orange gilled waxcap
Hydnellum auratile,Gold Tooth
Hydnopolyporus fimbriatus,poretooth rosette
Hygrocybe caespitosa,clustered waxcap
Hygrophorus speciosus,splendid woodwax
Hypomyces lactifluorum,lobster fungus
Hypsizygus marmoreus,beech leech
Inocybe caesariata,Caesar's fibrecap
Lachnocladium denudatum,smooth leather coral
Lactarius indigo,indigo milkcap
Lactarius lignyotus,Velvet Milkcap
Lactarius sanguifluus,Bloody Milkcap
Lactocollybia aurantiaca,orange milkshank
Leccinum eximium,lilacbrown bolete
Lentinula edodes,shiitake
Lentinus crinitus,fringed sawgill
Leotia viscosa,greencap jellybaby
Lepiota flammeatincta,flaming parasol
Leratiomyces erythrocephalus,Redhead Roundhead
Leucoagaricus rubrotinctus,ruby dapperling
Leucocoprinus fragilissimus,fragile dapperling
Lignosus rhinocerus,tiger's milk fungus
Longula texensis,Texan desert mushroom
Lysurus corallocephalus,coralhead stinkhorn
Lysurus mokusin,ribbed lizard's claw
Macowanites luteolus,yellow brittleball
Macrocybe titans,American titan
Marasmius crinisequi,rainforest horsehair 
Marasmius haematocephalus,mauve parachute
Marasmius pulcherripes,rosy parachute
Marasmius zenkeri,striped parachute
Microglossum rufum,orange earthtongue
Microporus xanthopus,yellow stemmed micropore
Montagnea arenaria,desert inkcap
Mucronella pendula,icicle spine
Mutinus borneensis,yellow dog stinkhorn
Mycena aurantiidisca,tangerine bonnet
Mycena interrupta,pixie's parasol
Mycena leaiana,golden bonnet
Mycena strobilinoides,flame bonnet
Mycena viscidocruenta,ruby bonnet
Nidula niveotomentosa,woolly bird's nest
Omphalotus japonicus,moonlight mushroom
Onnia tomentosa,velvet rosette
Ophiocordyceps sinensis,Chinese caterpillar fungus
Peziza azureoides,azure cup
Phaeocollybia christinae,Christina's rootshank
Phallus indusiatus,veiled lady
Phillipsia domingensis,mauve elfcup
Phlebia coccineofulva,scarlet waxcrust
Phylloporus rhodoxanthus,gilled bolete
Physalacria inflata,bladder stalks
Pleurotus citrinopileatus,golden oyster
Pleurotus djamor,tropical oyster
Pleurotus eryngii,King Oyster
Pluteus aurantiorugosus,flame shield
Podaxis pistillaris,desert shaggy mane
Podoscypha petalodes,wine glass rosette
Podoserpula pusio,pagoda fungus
Podostroma cornu-damae,poison fire coral
Pseudocolus fusiformis,stinky squid
Psilocybe cubensis,golden brownie
Pterula subulata,angel hair coral
Pulveroboletus ravenelii,sulphur bolete
Ramaria araiospora,red coral
Ramaria longispora,longspored orange coral
Ramaria sanguinea,Bloody Coral
Rigidoporus sanguinolentus,bleeding porecrust
Sarcosoma globosum,witches cauldron
Sebacina sparassoidea,white coral jelly
Squamanita odorata,fragrant strangler
Staheliomyces cinctus,cummerbund stinkhorn
Suillus ochraceoroseus,rosy larch bolete
Syzygospora mycetophila,toughshank brain
Terfezia arenaria,Moroccan desert truffle
Termitomyces robustus,robust termite fungus
Tetrapyrgos nigripes,blackfoot parachute
Tremella fuciformis,silver ear
Tremellodendron schweinitzii,jellied false coral
Tricholoma caligatum,true booted knight
Tricholoma magnivelare,American matsutake
Tricholoma pardinum,Leopard Knight
Tuber magnatum,white truffle
Tylopilus alboater,black velvet bolete
Tylopilus chromapes,yellowfoot bolete
Urnula craterium,devil's urn
Weraroa virescens,blue pouch fungus
Xylaria tentaculata,fairy sparkler
